ID         | Code            | Grade    | Attend

1001       | AI-853          | 80       | 12/15
1001       | CSE-848         | 70       | 13/15
1001       | EE-826          | 50       | 11/15
1002       | AI-853          | 80       | 12/15
1002       | CSE-848         | 70       | 13/15
1003       | AI-853          | 80       | 12/15
1003       | CSE-848         | 70       | 13/15
1003       | EE-826          | 50       | 11/15
1004       | CSE-848         | 70       | 13/15
1005       | AI-853          | 80       | 12/15
1005       | CSE-848         | 70       | 13/15
1005       | EE-826          | 50       | 11/15
1006       | CSE-848         | 70       | 13/15
1006       | EE-826          | 50       | 11/15
1007       | AI-853          | 80       | 12/15
1008       | AI-853          | 80       | 12/15
1008       | CSE-848         | 70       | 13/15
1008       | EE-826          | 50       | 11/15
2001       | RAI-832         | 90       | 2/15
